,Toponym Variant,Authority Name,MoEML @xml:id,Agas Map,All Variants (alternate names and variant spellings),Location category
0,Abbey of Bermondſey,Bermondsey Abbey,BERM3, ,Abbey of Bermondſey | Barmondſey | Barmondsey | Beremondſey | Bermonds Eye | Bermonds Eye in Southwarke | Bermondſey | Bermondsey | Bermondsey Abbey | Bermondsey monastery | manor of Bermondſey | Monaſtery of Bermondſey | Priorie of Barmondſey | Pryorie of Bermondſey,Churches
1,Abbey of Nunnes,Abbey of St. Clare,ABBE1,Agas Map,Abbey of Nunnes | Abbey of Nunnes of the order of Saynt | Abbey of Saint Clare | Abbey of St. Clare | Minories,Churches
2,Abbey of Nunnes of the order of Saynt,Abbey of St. Clare,ABBE1,Agas Map,Abbey of Nunnes | Abbey of Nunnes of the order of Saynt | Abbey of Saint Clare | Abbey of St. Clare | Minories,Churches
3,Abbey of Saint Clare,Abbey of St. Clare,ABBE1,Agas Map,Abbey of Nunnes | Abbey of Nunnes of the order of Saynt | Abbey of Saint Clare | Abbey of St. Clare | Minories,Churches
4,Abbey of St. Clare,Abbey of St. Clare,ABBE1,Agas Map,Abbey of Nunnes | Abbey of Nunnes of the order of Saynt | Abbey of Saint Clare | Abbey of St. Clare | Minories,Churches
5,Abbey of St. Mary Graces,Abbey of St. Mary Graces,ABBE2,Agas Map,Abbey of St. Mary Graces | Eastminster | New Abbey | new Abbey | New Church Haw | newe Abbey | St. Mary Graces Abbey,Churches
6,Abbie church of Weſtminſter,Westminster Abbey,WEST1,Agas Map,Abbie church of Weſtminſter | Apoſtle S. Peter of Weſtminſter | Chappell of our Ladie | Chapter houſe | Collegiat church of Weſtm | Monaſterie of S. Peter at VVeſtminſter | Monaſterie of Weſtminſter | old Lady chappel | our Ladies Chappell | S. Peter at weſtminſter | S. Peter of Weſtminſter | S. Peter the holy Apoſtle at Weſtminſter | S. Peters at Weſtminſter | VVeſtminſter | Weſminſter | Weſt minſter | Weſtminſter | Westminster | Westminster Abbey,Churches
7,Abbot of Auguſtins Inne,St. Augustine Inn,STAU1,Agas Map,Abbot of Auguſtins Inne | Abbot of S. Auguſtine his houſe | Abbots Inn of St. Augustine | Abbots Inne of S. Auguſtine in Southwarke | church of Saint Auguſtine,Sites
8,"Abbot of Bery his Inne, Beuis Markes",Bevis Marks (Street),BEVI1,Agas Map,"Abbot of Bery his Inne, Beuis Markes | Beavis Marks | Beuis Markes | Bevesmarkes | Bevis Marks | Buries marke | Buries Marke | Buries Markes | Buries markes | Buries marks | Inn of the Abbot of BUry St Edmunds",Streets
9,Abbot of S. Albones his Inne,Abbot of St. Alban’s Inn,ALBO1, ,Abbot of S. Albones his Inne,Victualling Houses
10,Abbot of S. Auguſtine his houſe,St. Augustine Inn,STAU1,Agas Map,Abbot of Auguſtins Inne | Abbot of S. Auguſtine his houſe | Abbots Inn of St. Augustine | Abbots Inne of S. Auguſtine in Southwarke | church of Saint Auguſtine,Sites
11,Abbots Inn of St. Augustine,St. Augustine Inn,STAU1,Agas Map,Abbot of Auguſtins Inne | Abbot of S. Auguſtine his houſe | Abbots Inn of St. Augustine | Abbots Inne of S. Auguſtine in Southwarke | church of Saint Auguſtine,Sites
12,Abbots Inne of S. Auguſtine in Southwarke,St. Augustine Inn,STAU1,Agas Map,Abbot of Auguſtins Inne | Abbot of S. Auguſtine his houſe | Abbots Inn of St. Augustine | Abbots Inne of S. Auguſtine in Southwarke | church of Saint Auguſtine,Sites
